Date,Close/Last,Volume,Open,High,Low,Day
2024-02-02,170.97,5307883,171.235,171.96,170.1,1438
2024-02-01,171.7,4920789,168.53,171.8,167.17,1437
2024-01-31,168.53,5769214,169.96,170.3838,167.88,1436
2024-01-30,169.62,4804243,167.67,169.7,167.32,1435
2024-01-29,168.15,5713559,167.53,168.7,167.39,1434
2024-01-26,167.86,4848987,166.6,168.03,166.6,1431
2024-01-25,166.56,5373787,165.81,166.6,164.94,1430
2024-01-24,165.6,4984700,167.64,167.74,165.52,1429
2024-01-23,167.64,4932727,164.56,167.93,164.36,1428
2024-01-22,165.11,5697428,165.96,166.705,165.02,1427
2024-01-19,165.78,6528578,167.14,167.24,165.57,1424
2024-01-18,167.17,4709362,165.47,167.28,164.99,1423
2024-01-17,166.44,4392400,165.99,166.727,165.44,1422
2024-01-16,166.17,4576842,167.27,167.52,165.19,1421
2024-01-12,167.27,3546260,166.34,167.38,165.57,1417
2024-01-11,166.13,4800727,167.14,167.14,164.82,1416
2024-01-10,166.92,4394876,166.59,167.96,166.2,1415
2024-01-09,167.17,6268763,167.79,167.89,165.93,1414
2024-01-08,169.11,5735563,168.94,169.73,167.79,1413
2024-01-05,168.94,5252478,171.57,171.57,167.56,1410
2024-01-04,171.47,6283225,171.61,173.53,170.58,1409
2024-01-03,172.95,5588224,175,175.2,172.7,1408
2024-01-02,172.91,5743112,169.52,172.99,169.19,1407
2023-12-29,169.84,3291629,169.34,170.065,169.17,1403
2023-12-28,169.39,2911277,169.4,169.54,168.7,1402
2023-12-27,169.4,3502620,168.9,169.49,168.36,1401
2023-12-26,168.86,2779405,167.65,169.42,167.25,1400
2023-12-22,167.68,3030355,167.36,168.17,166.86,1396
2023-12-21,166.97,4374203,166.5,167.1,165.39,1395
2023-12-20,165.69,5157779,166.51,167.465,165.67,1394
2023-12-19,167.95,4855853,167.935,168.83,167.31,1393
2023-12-18,168.91,5439517,168.06,170.25,167.41,1392
2023-12-15,167,17734650,167.45,168.51,166.45,1389
2023-12-14,168.25,7119267,171.65,171.97,167.94,1388
2023-12-13,172.01,6082063,168.54,172.05,168.12,1387
2023-12-12,168.47,4515820,169.28,169.28,167.71,1386
2023-12-11,167.82,6912556,167.44,168.13,166.46,1385
2023-12-08,165.68,5115158,167.04,167.12,165.27,1382
2023-12-07,167.46,4934842,168,168.3043,166.7,1381
2023-12-06,167.51,4726646,167.98,168.32,166.73,1380
2023-12-05,167.94,4553781,169.15,169.5731,167.71,1379
2023-12-04,169.14,5323333,168.4,169.92,168.19,1378
2023-12-01,168.69,4897439,168.37,168.85,167.38,1375
2023-11-30,168.29,7346920,166.11,168.36,164.82,1374
2023-11-29,167.16,4722423,169.1,169.12,166.65,1373
2023-11-28,168.86,4056190,168.38,169.76,168.02,1372
2023-11-27,168.32,3664714,169.7,169.7,168.09,1371
2023-11-24,169.37,1751667,168.95,170.02,168.95,1368
2023-11-22,169.22,3235732,168.35,169.57,168.3,1366
2023-11-21,167.8,3979988,167.11,167.86,165.92,1365
2023-11-20,166.52,4887350,166,166.77,165.72,1364
2023-11-17,166.76,5583290,168.05,168.25,165.77,1361
2023-11-16,167.71,5386432,168.39,170,166.4,1360
2023-11-15,167.25,5611162,168.7,168.7889,166.27,1359
2023-11-14,168.11,6238935,167.95,168.44,166.89,1358
2023-11-13,167.77,5402335,167,168.78,166.46,1357
2023-11-10,166.92,5553519,167.31,167.78,164.86,1354
2023-11-09,166.16,5639290,167.58,167.86,165.81,1353
2023-11-08,167.39,4926736,168.17,168.34,166.66,1352
2023-11-07,167.18,4687447,166.8,167.71,166.12,1351
2023-11-06,166.7,5784687,165.46,167.5,165.21,1350
2023-11-03,166.79,4063294,168.68,168.81,166.69,1347
2023-11-02,166.83,5413373,164.74,167.16,164.67,1346
2023-11-01,164.87,6682510,163.67,165.43,162.76,1345
2023-10-31,163.28,5947523,162.95,163.35,161.66,1344
2023-10-30,162.28,4626063,161.298,162.58,160.74,1343
2023-10-27,159.62,5078025,162.02,162.14,158.89,1340
2023-10-26,161.41,5146996,162.68,163.36,161.3,1339
2023-10-25,162.35,4534609,162.05,163.5,161.47,1338
2023-10-24,162.19,5265171,160.41,162.855,159.68,1337
2023-10-23,160.08,5795756,159.6,161.6,159.06,1336
2023-10-20,160,5486488,161.37,162.23,159.71,1333
2023-10-19,160.56,6336801,161.9,162.722,160.41,1332
2023-10-18,162.03,6650607,161.02,163.4,160.87,1331
2023-10-17,160.37,6411422,160,161.63,159.16,1330
2023-10-16,161.08,5605021,161,161.95,159.8,1329
2023-10-13,160,6758821,158.62,160.24,157.95,1326
2023-10-12,158.08,9024055,162.6,162.65,157.43,1325
2023-10-11,162.62,7371486,165.01,165.44,161.6,1324
2023-10-10,164.4,11456360,164.25,165.18,162.03,1323
2023-10-09,161.36,7244494,160,161.42,158.64,1322
2023-10-06,160.29,12774670,158.78,160.92,155.83,1319
2023-10-05,160.1,10556390,168.77,168.81,159.87,1318
2023-10-04,168.91,4134136,168.45,169.13,167.06,1317
2023-10-03,167.7,4873523,168.86,170,167.03,1316
2023-10-02,169.17,3838871,169.08,169.49,167.32,1315
2023-09-29,169.44,5194292,170.51,170.84,168.04,1312
2023-09-28,169.5,4841646,169.93,170.18,168.18,1311
2023-09-27,169.57,5729854,172.31,172.69,169.03,1310
2023-09-26,172.52,5213692,173,173.72,171.64,1309
2023-09-25,174.33,3553687,174.68,175.44,173.18,1308
2023-09-22,175.27,4542456,174.94,176.39,174.37,1305
2023-09-21,175.38,5351155,178.1,178.33,175.13,1304
2023-09-20,178.38,3696292,179.09,179.419,177.56,1303
2023-09-19,178.32,3369556,178.86,179.13,177.3,1302
2023-09-18,179.38,3182752,181,181,178.43,1301
2023-09-15,179.84,11661180,181.41,181.82,179.61,1298
2023-09-14,181.23,4118298,179.94,181.69,179.33,1297
2023-09-13,179.68,3781554,178.33,180.14,178.21,1296
2023-09-12,178.27,3331234,178.74,178.92,177.8,1295
2023-09-11,178.93,4512875,176.83,179.43,176.83,1294
2023-09-08,176.27,2995127,175.81,177.15,175.61,1291
2023-09-07,176.4,4934402,175.85,177.055,175.21,1290
2023-09-06,174.73,5933800,174.92,174.99,173.48,1289
2023-09-05,174.16,5081845,175.265,175.88,173.65,1288
2023-09-01,175.32,4801361,178.73,178.81,174.64,1284
2023-08-31,177.92,5566735,179.34,179.63,177.86,1283
2023-08-30,181.08,3153432,181.46,182.26,180.72,1282
2023-08-29,180.93,4368626,180.3,181.22,179.02,1281
2023-08-28,180.25,3189757,180.82,181.18,179.34,1280
2023-08-25,179.42,4710679,178.06,179.71,177.84,1277
2023-08-24,177.18,5710041,178.01,180.4399,177.1,1276
2023-08-23,178.12,4042732,177.25,178.28,176.37,1275
2023-08-22,175.7,3491524,176.18,176.82,175.31,1274
2023-08-21,177.05,4284317,177.73,177.96,176.23,1273
2023-08-18,178.18,6020451,178.46,179.55,177.27,1270
2023-08-17,178.45,4503030,181.21,181.41,178.32,1269
2023-08-16,181.21,2633918,181.6,182.95,180.95,1268
2023-08-15,181.35,3331931,183.15,183.46,181.13,1267
2023-08-14,183.62,3385717,184.39,184.86,183.13,1266
2023-08-11,184.04,2873848,184,184.28,183.28,1263
2023-08-10,183.75,3727433,184.22,185.59,183.53,1262
2023-08-09,183.98,4413095,183.88,185,182.63,1261
2023-08-08,184.44,5018032,187.2,187.48,184.03,1260
2023-08-07,186.89,3323542,185.28,187.21,185.1,1259
2023-08-04,184.6,4651062,187.12,188.01,184.35,1256
2023-08-03,187.12,2857659,188.17,189.22,186.97,1255
2023-08-02,188.31,4286293,186.59,189.97,186.4,1254
2023-08-01,186.82,2854164,187.49,188.6,186.4,1253
2023-07-31,187.46,5688218,189.45,189.59,186.85,1252
2023-07-28,190.31,5602369,190.14,191.37,189.79,1249
2023-07-27,188.53,4141834,192,192.2925,188.4,1248
2023-07-26,191.6,3898895,191.12,192.38,190.06,1247
2023-07-25,191.36,3521616,190.41,192.01,190.06,1246
2023-07-24,190.92,4226701,190.59,191.43,190.14,1245
2023-07-21,190.16,15022090,190.105,191.47,189.3,1242
2023-07-20,189.3,5056531,187.5,189.99,186.81,1241
2023-07-19,186.26,4140799,185,186.6,184.42,1240
2023-07-18,184.45,5684103,185.44,186.82,183.82,1239
2023-07-17,185.63,5637931,186.34,187.005,185.42,1238
2023-07-14,188.21,4467604,187.86,188.625,187.09,1235
2023-07-13,187.53,8223095,185.8,188.06,183.26,1234
2023-07-12,183.17,6080078,183.98,184.61,182.98,1233
2023-07-11,183.98,3915229,184.38,184.726,182.42,1232
2023-07-10,184.3,5508816,184.07,185.91,183.78,1231
2023-07-07,183.08,6310132,185.82,185.88,183.03,1228
2023-07-06,186.6,5592489,185.81,186.75,184.89,1227
2023-07-05,186.58,5277266,185,186.69,184.97,1226
2023-07-03,185.6,2387512,184.3,185.64,183.47,1224
2023-06-30,185.22,7635186,184.04,185.52,183.88,1221
2023-06-29,183.88,5770445,183.25,183.89,181.39,1220
2023-06-28,183.7,5194077,186.25,186.74,183.38,1219
2023-06-27,186.22,5763039,184.67,186.61,183.96,1218
2023-06-26,184.89,3706278,186.16,186.43,184.12,1217
2023-06-23,186.07,7592675,188,188,185.95,1214
2023-06-22,187.35,3186126,186.73,187.58,185.87,1213
2023-06-21,185.43,3832395,185.72,186.88,184.19,1212
2023-06-20,185.31,4155059,186.54,187.87,185.24,1211
2023-06-16,186.04,8925706,186.14,187.585,185.7,1207
2023-06-15,185.71,4326317,184.26,186.17,183.52,1206
2023-06-14,183.17,3559268,182,183.65,181.44,1205
2023-06-13,181.54,2838752,182.13,182.19,181.08,1204
2023-06-12,181.9,4207398,182.49,182.73,180.69,1203
2023-06-09,182.35,3200319,181.71,182.83,181,1200
2023-06-08,182.1,4036711,179.7,182.3,179.33,1199
2023-06-07,180.11,5162657,180.71,181.74,179.7,1198
2023-06-06,181.56,3975572,184.98,185.12,180.43,1197
2023-06-05,184.19,4311675,183.85,186.17,183.61,1196
2023-06-02,184.06,4288433,182.02,184.29,181.7,1193
2023-06-01,182.19,5277433,182.42,182.69,180.8,1192
2023-05-31,182.35,20414800,182.86,184.62,181.46,1191
2023-05-30,181.61,4331831,182.055,183.09,180.7,1190
2023-05-26,183.58,4449346,183.71,184.25,182.4,1186
2023-05-25,183.8,4712884,182.7,184.22,181.95,1185
2023-05-24,184.89,3721022,186.27,186.74,184.37,1184
2023-05-23,186.07,6382250,186.49,186.63,184.59,1183
2023-05-22,186.64,5786972,191.19,191.39,186.41,1182
2023-05-19,191.84,3883181,192.46,192.86,191.1,1179
2023-05-18,191.56,3709407,191.32,191.71,190.41,1178
2023-05-17,192.06,4878900,193.31,193.585,190.84,1177
2023-05-16,193.43,5803757,194.48,194.48,192.54,1176
2023-05-15,194.27,2946589,196.57,196.88,194,1175
2023-05-12,196.12,2740969,195.34,196.22,194.95,1172
2023-05-11,195.34,3690431,194.28,195.52,193,1171
2023-05-10,194.27,4352899,194.11,195.58,192.67,1170
2023-05-09,194.14,3087644,193.86,194.67,192.71,1169
2023-05-08,193.35,2249855,193.4,194,192.65,1168
2023-05-05,194.27,4146515,192.82,194.48,192.39,1165
2023-05-04,193.38,4267611,193.08,193.95,192.16,1164
2023-05-03,192.18,3389644,192.58,193.25,191.78,1163
2023-05-02,192.25,3712247,191.36,192.5,189.75,1162
2023-05-01,191.68,3137839,190.45,192.325,190.28,1161
2023-04-28,190.89,4608944,189.9,191.62,189.64,1158
2023-04-27,189.69,4574524,188.18,189.95,187.51,1157
2023-04-26,188.54,4481737,188.48,189.42,187.87,1156
2023-04-25,189.71,6231626,186.56,190.18,186.24,1155
2023-04-24,185.5,3540199,186.5,186.57,185.02,1154
2023-04-21,185.41,3781932,185.99,186.38,185.13,1151
2023-04-20,185.33,3868174,184.84,186.035,184.2,1150
